FIGI,TICKER,LOT,NAME,SECTOR,FIRST_TRADE_YEAR,PRICE_ANALYZE,VOLUME_ANALYZE,FIRST_DAY_ANALYZE,OVERALL_ANALYZE,NOWADAY_PRICE
BBG000BBV4M5,CNTL,100,Центральный Телеграф,telecom,2009,0.380162641241759,0.00588056016407037,0.5555555555555556,0.4246984126712534,11.2
TCS00A107JE2,GEMC,1,United medical group,health_care,2021,0.43213649416992056,0.025294849698835668,0.1111111111111111,0.4191609725053952,734.3
BBG004S686W0,UPRO,1000,Юнипро,utilities,2006,0.3425747196023946,0.056213756918392595,0.6666666666666666,0.41789725656932314,1.892
BBG0029SG1C1,KZOSP,10,Казаньоргсинтез - акции привилегированные,materials,2012,0.3798057890098368,0.022496190856497907,0.4444444444444444,0.41405010858419966,19.73
BBG002B2J5X0,KRKNP,1,Саратовский НПЗ - акции привилегированные,energy,2011,0.3738620856192833,0.0242507999563913,0.48148148148148145,0.413909725664622,8740.0
TCS009046502,UDMN,1,Удмуртнефть,energy,2023,0.4301804169990333,0.04695513949225952,0.037037037037037035,0.41327284416159993,31000.0
TCS00A105NV2,CARM,100,КарМани,financial,2023,0.4242526330445419,0.06194919533862235,0.037037037037037035,0.4117485007848271,1.766
BBG00BGKYH17,NKHP,10,НКХП,industrials,2015,0.38963173519959304,0.03427505589555267,0.3333333333333333,0.4115632608959594,716.0
BBG000LNHHJ9,KMAZ,10,КАМАЗ,industrials,2005,0.3311905297458167,0.04229882589835776,0.7037037037037037,0.40855991136744924,118.2
TCS30A108JF7,PRMD,1,Промомед,health_care,2024,0.41654721232539055,0.09361203278924113,0.0,0.40808557178806293,330.15
TCS00A107J11,DELI,1,Делимобиль,it,2024,0.43322943806389064,0.026812948550138493,0.0,0.40585694645079756,204.7
BBG000QFB4J6,ZILLP,1,ЗИЛ - акции привилегированные,real_estate,2023,0.4194304459928483,0.042514714818055015,0.037037037037037035,0.4021273719697824,2840.58
BBG002B9T6Y1,KAZTP,10,КуйбышевАзот - Акции привилегированные,materials,2018,0.3970835226916115,0.022687686764397086,0.2222222222222222,0.40068371334341674,453.5
BBG000RP8V70,CHMK,1,ЧМК,materials,2008,0.33306791026294436,0.05507307811081,0.5925925925925926,0.39896571898132743,5600.0
BBG004S68598,MTLR,1,Мечел,materials,2008,0.30350030845086534,0.15652464685468576,0.5925925925925926,0.3984265229585921,105.18
BBG000RMWQD4,ENPG,1,Эн+,materials,2020,0.3798863988665269,0.09128834760036224,0.14814814814814814,0.39309899240851265,333.95
BBG002B9MYC1,KAZT,10,КуйбышевАзот,materials,2018,0.38996280373542924,0.01553073614145151,0.2222222222222222,0.39218405662205624,452.0
BBG000TY1CD1,BELU,1,Novabev Group,consumer,2018,0.3523835036654153,0.1444306794187227,0.2222222222222222,0.3914878556145414,650.0
TCS00A106YF0,VKCO,1,ВК,it,2020,0.38338797176420536,0.07043069223919643,0.14814814814814814,0.39081979855535803,316.4
BBG000W325F7,AQUA,1,ИНАРКТИКА,consumer,2018,0.3803404654365528,0.04340924183163055,0.2222222222222222,0.390647395331328,602.0
TCS00A109B25,OZPH,10,Озон Фармацевтика,health_care,2024,0.41696032747426254,0.006900283398704579,0.0,0.38549384902396466,29.67
TCS00A0JR514,LIFE,100,Фармсинтез,health_care,2018,0.38037606797231405,0.018449153965594385,0.2222222222222222,0.3840670788275307,3.665
BBG002W2FT69,ABRD,10,АбрауДюрсо,consumer,2018,0.3741939724576501,0.03657179492939738,0.2222222222222222,0.38313583870193557,191.0
BBG00172J7S9,OKEY,10,O'Key Group SA,consumer,2020,0.37856442246876626,0.046217389003835714,0.14814814814814814,0.37993122730552276,24.59
BBG004S68DD6,MSTT,10,Мостотрест,industrials,2018,0.3654769136397695,0.05281521810115209,0.2222222222222222,0.37935589729340496,168.7
BBG002YFXL29,UNKL,1,ЮУНК,materials,2012,0.3354206375454204,0.04653767573031409,0.4444444444444444,0.379259612814275,5940.0
BBG000BX7DH0,VRSB,10,ТНС энерго Воронеж,utilities,2018,0.3708844657217792,0.026461810478559503,0.2222222222222222,0.3773880734236968,466.5
BBG0027F0Y27,CNTLP,100,Центральный Телеграф - акции привилегированные,telecom,2018,0.3749758753480399,0.0053818704915122246,0.2222222222222222,0.37559696719997565,8.0
TCS00A0ZZFS9,LEAS,1,Европлан,other,2024,0.39499601500978065,0.033131383956416856,0.0,0.37207540424478924,619.0
BBG00F6NKQX3,SMLT,1,ГК Самолет,real_estate,2020,0.35058646212215266,0.11176519008749251,0.14814814814814814,0.37135325131561664,1365.0
BBG004S68FR6,MTLRP,10,Мечел - Привилегированные акции,materials,2011,0.29978070644254623,0.12014847021081704,0.48148148148148145,0.37061926989298705,107.9
TCS00A105BN4,GECO,10,Генетико,health_care,2023,0.3825932348243682,0.025940550617724278,0.037037037037037035,0.36357506433374503,30.1
TCS00A107ER5,DIAS,1,Диасофт,it,2024,0.3901923796575288,0.0038603159062858172,0.0,0.3598652135036012,4666.0
TCS009086904,SLAV,1,Славнефть,energy,2023,0.35740837371719786,0.06437062314366508,0.037037037037037035,0.3504022477434786,46.0
BBG00R4Z2NT4,VEON-RX,10,VEON,telecom,2021,0.3559831524251663,0.02988187895809671,0.1111111111111111,0.3497557592395852,30.8
TCS00A0HG6Z8,OBNE,1,Обьнефтегазгеология - ао,materials,2023,0.34854522151971856,0.07961033746665994,0.037037037037037035,0.3462208880947278,925.1
BBG00ZHCX1X2,FIXP,1,Fix Price Group,consumer,2021,0.3438224317466329,0.03411963083580828,0.1111111111111111,0.33960137003294394,178.4
BBG0100R9963,SGZH,100,Сегежа,materials,2021,0.28899468340842405,0.20913662027126673,0.1111111111111111,0.3351288733917629,1.712
TCS00A108GD8,IVAT,1,IVA Technologies,it,2024,0.3583419037418426,0.020220800221806213,0.0,0.3346635824658119,212.85
BBG002B298N6,YAKG,10,ЯТЭК,energy,2018,0.3243419188166765,0.01710842474132063,0.2222222222222222,0.3317487421952089,60.15
TCS00A107KX0,KLVZ,100,Кристалл,consumer,2024,0.3441186576532178,0.04921386158818612,0.0,0.3291555915284759,4.5
TCS00A107RM8,ZAYM,10,МФК Займер,financial,2024,0.3482653696401998,0.02595643953304199,0.0,0.3268388322032025,143.6
BBG005D1WCQ1,QIWI,1,QIWI,it,2013,0.22947519443787426,0.22371047972427366,0.4074074074074074,0.3230478721572757,210.8
BBG000Q7ZZY2,UNAC,1000,Объединенная авиастроительная корпорация,industrials,2010,0.24916826280440182,0.09622517859102268,0.5185185185185185,0.3222519417785312,0.7205
TCS10A108K09,VSEH,1,ВИ.РУ,consumer,2024,0.32384873757833327,0.08351755770682216,0.0,0.3194473215178245,95.6
TCS002614686,NTZL,1,НИТЕЛ,telecom,2023,0.3237704774285827,0.0409861277046046,0.037037037037037035,0.3130123751356097,33.39
TCS009124010,KZIZ,1,Красногорский завод им. С.А. Зверева - ао,other,2023,0.28271303245583623,0.1774716233342253,0.037037037037037035,0.31110056661967167,318.79
TCS00A0JRH43,MBNK,1,МТС-Банк,financial,2024,0.3302843421815999,0.023375427744252008,0.0,0.3094803244118924,1402.0
TCS009102396,UFOSP,1,Уфаоргсинтез - привилегированные акции,materials,2023,0.3254763597057865,0.015219208087805304,0.037037037037037035,0.3077672124432954,73.5
BBG004Z2RGW8,ROLO,1000,Русолово,materials,2013,0.26595948674550446,0.02355053631189174,0.4074074074074074,0.30384783533066706,0.6516
TCS00A0F61T7,TGKJ,1,Форвард Энерго,energy,2023,0.3138143187220732,0.024638821096944027,0.037037037037037035,0.299448239100026,69.97
TCS009177281,NOMPP,1,Новошип - привилегированные акции,industrials,2023,0.3184528988138589,0.007944330054731007,0.037037037037037035,0.2993265020895938,155.0
TCS009084453,NOMP,1,Новошип - ао,industrials,2023,0.2938340308220728,0.019930781952494862,0.037037037037037035,0.2796721537815291,239.49
BBG000RJL816,TTLK,1000,Таттелеком,telecom,2007,0.20875119613209958,0.020432408841857926,0.6296296296296297,0.2794093176058286,0.671
TCS007940839,KZIZP,1,Красногорский завод им. С.А. Зверева - привилегированные акции,other,2023,0.27030146493165724,0.08222289035009585,0.037037037037037035,0.27435398488000007,344.83
BBG001BBGNS2,ORUP,1,Обувь России,consumer,2023,0.23473962313641916,0.024097844330463532,0.037037037037037035,0.22597521953805574,1.58
BBG000VKG4R5,MRKU,10000,Россети Урал,utilities,2008,0.0,0.1637441681317704,0.5925925925925926,0.1188892699156243,0.3756
BBG000VH7TZ8,MRKC,1000,Россети Центр,utilities,2008,0.0,0.0849976897572443,0.5925925925925926,0.09802489474274109,0.4896
BBG00475JZZ6,FEES,10000,ФСК Россети,utilities,2008,0.0,0.07977739447666869,0.5925925925925926,0.09664174464516931,0.8358
BBG000Q7GJ60,TGKBP,100000,ТГК-2 - акции привилегированные,utilities,2007,0.0,0.058894662033307385,0.6296296296296297,0.09601533128250099,0.1291
BBG000F6YPH8,ELFV,1000,ЭЛ5-Энерго,energy,2005,0.0,0.016672858963971596,0.7037037037037037,0.0946415948829251,0.5724
BBG000VG1034,MRKP,10000,Россети Центр и Приволжье,utilities,2008,0.0,0.07019995450896525,0.5925925925925926,0.09410414163349516,0.3415
BBG000RK52V1,OGKB,1000,Вторая генерирующая компания оптового рынка электроэнергии,utilities,2007,0.0,0.0508698551428437,0.6296296296296297,0.09388910817883092,0.3432
BBG00475K2X9,HYDR,1000,РусГидро,utilities,2008,0.0,0.062230308470525596,0.5925925925925926,0.09199253374481935,0.5225
BBG000RG4ZQ4,TGKN,100000,ТГК-14,utilities,2007,0.0,0.03324250721746372,0.6296296296296297,0.08921863137771155,0.868
BBG000QFH687,TGKA,100000,ТГК-1,utilities,2007,0.0,0.029601330831750514,0.6296296296296297,0.0882538787722574,0.7056
BBG000TJ6F42,MRKZ,10000,Россети Северо-Запад,utilities,2008,0.0,0.04242417092834494,0.5925925925925926,0.08674477291873693,0.58
BBG000Q7GG57,TGKB,1000000,ТГК-2,utilities,2007,0.0,0.021902058209733902,0.6296296296296297,0.08621390802232695,0.717
BBG000PKWCQ7,MRKV,10000,МРСК Волги,utilities,2008,0.0,0.018126099628398028,0.5925925925925926,0.0803068459657577,0.638
BBG000C7P5M7,MRKY,10000,МРСК Юга,utilities,2008,0.0,0.006593179749948402,0.5925925925925926,0.07725112624152662,0.6155
BBG000VJMH65,MRKS,1000,МРСК Сибири,utilities,2008,0.0,0.00494202886593129,0.5925925925925926,0.07681364342042417,0.563
TCS00A0JPP37,UGLD,1000,Южуралзолото ГК,materials,2023,0.0,0.10197631921420489,0.037037037037037035,0.02892451860332762,0.6675
TCS10A0JV532,GRNT,1,Городские Инновационные Технологии,industrials,2023,0.0,0.0791457982438677,0.037037037037037035,0.022875428348752037,0.77
TCS00A102093,ELMT,1000,Элемент,it,2024,0.0,0.011327706686748979,0.0,0.0,0.16285
